Sigla;Código;Título;Sub-título;Autores;Data;Tipo;Distribuição;Situação;Nome do arquivo;Projeto;Objeto;Indicador;Arq
#N/D;DPT01580020;Desenvolvimento de rocha aglomerada artificial com resíduos de rochas ornamentais e resina vegetal;;Luan Bomfim Antunes, MARIANE COSTALONGA DE AGUIAR, MONICA CASTOLDI BORLINI GADIOLI, ;12/11/2020;Proposta de Trabalho do Projeto;Reservada;Concluído;DPT01580020.pdf;PRJ05.15;13/00154;;SIM
#N/D;DPT01590020;Desenvolvimento de rocha aglomerada artificial com resíduos de rochas ornamentais e resina epóxi;;Eduardo Vargas Campos, MARIANE COSTALONGA DE AGUIAR, MONICA CASTOLDI BORLINI GADIOLI, ;12/11/2020;Proposta de Trabalho do Projeto;Reservada;Concluído;DPT01590020.pdf;PRJ05.15;13/00154;;SIM
#N/D;DPT01600020;Normatização do uso de resíduos de rochas ornamentais nas indústrias de cerâmica vermelha;;Ângelo Gonçalves dos Santos, MARIANE COSTALONGA DE AGUIAR, MONICA CASTOLDI BORLINI GADIOLI, ;12/11/2020;Proposta de Trabalho do Projeto;Reservada;Concluído;DPT01600020.pdf;PRJ05.15;13/00154;;SIM
#N/D;DPT01610020;Estudo da interação de resíduo-resina para produção de rochas artificiais;;Ana Carolina Folly de Souza, MONICA CASTOLDI BORLINI GADIOLI, ;12/11/2020;Proposta de Trabalho do Projeto;Reservada;Concluído;DPT01610020.pdf;PRJ05.15;13/00154;;SIM
#N/D;DPT01620020;Desenvolvimento de materiais eco eficientes usando resíduos de processamento de rochas ornamentais;;MONICA CASTOLDI BORLINI GADIOLI, ;16/11/2020;Proposta de Trabalho do Projeto;Reservada;Concluído;DPT01620020.pdf;PRJ05.15;13/00154;;SIM
#N/D;DPT01630020;Orçamento de ensaio de composição química para a empresa Provale Indústria e Comércio S/A;;EUNICE DE FREITAS LIMA, LEONARDO LUIZ LYRIO DA SILVEIRA, ;16/11/2020;Proposta de Trabalho do Projeto;Pública;Concluído;DPT01630020_Provale.pdf;PRJ02.19;10/00047;;SIM
#N/D;DPT01640020;Preparação de laudo técnico de caracterização do minério de ouro da Mineração Apoena S.A.;;CLAUDIO LUIZ SCHNEIDER, ;05/08/2020;Proposta de Trabalho do Projeto;Reservada;Concluído;DPT0164-00-20.pdf;PRJ05.18;20/00039;;SIM
#N/D;DPT01650020;Medição do consumo de areia abrasiva (NCM 2505.90.00) na produção de chapas de granito (NCM 6802.93.90), mármore (NCM 6802.91.00) e quartzito (NCM 6802.99.90) para exportação, para a empresa Granito Zucchi Ltda.;;EUNICE DE FREITAS LIMA, LEONARDO LUIZ LYRIO DA SILVEIRA, ;18/11/2020;Proposta de Trabalho do Projeto;Reservada;Concluído;DPT01650020_Granito Zucchi.pdf;PRJ02.19;10/00048;;SIM
#N/D;DPT01660020;Investigar o potencial de reuso da água gerada nos processos de espessamento e filtração de rejeito de minério de ferro na flotação reversa;;Marisa Bezerra de Mello Monte, ;19/11/2020;Proposta de Trabalho do Projeto;Pública;Concluído;DPT01660020 - MARISA MONTE.pdf;PRJ05.18;09/00086;;SIM
#N/D;DPT01670020;Proposta de trabalho para caracterização tecnológica de 2 amostras de ureia;Proposta de trabalho do servidor Roberto Carlos;MAICCON MARTINS BARROS, ROBERTO CARLOS DA CONCEIÇÃO RIBEIRO, ;19/11/2020;Proposta de Trabalho do Projeto;Reservada;Concluído;DPT01670020_UREIA.pdf;PRJ02.19;10/00047;;SIM
#N/D;DPT01680020;Orçamento de ensaio de caracterização tecnológica para a empresa GRANICAP;;LEONARDO LUIZ LYRIO DA SILVEIRA, EUNICE DE FREITAS LIMA, ;23/11/2020;Proposta de Trabalho do Projeto;Reservada;Concluído;DPT01680020_Granicap.pdf;PRJ02.19;10/00047;;SIM
#N/D;DPT01690020;Avaliação do consumo de resina (NCM 3907.30.22) e endurente (NCM 3824.99.39), fio diamantado para multifio (NCM 6804.21.19), abrasivo diamantado (NCM 6804.21.90) e abrasivo resinóide (NCM 6804.22.90)  na produção de chapas de granito (NCM 6802.93.90);;LEONARDO LUIZ LYRIO DA SILVEIRA, EUNICE DE FREITAS LIMA, ;27/11/2020;Proposta de Trabalho do Projeto;Reservada;Concluído;DPT01690020_Laudo_Granitos Colodetti.pdf;PRJ02.19;10/00048;;SIM
#N/D;DPT01700020;Projeto DAT4RE gerenciamento da informação para a gestão de resíduos eletroeletrônicos;;LUCIA HELENA DA SILVA MACIEL XAVIER, ;27/11/2020;Proposta de Trabalho do Projeto;Pública;Concluído;DPT 0170-00-20 .pdf;PRJ01.13;07/00175;;SIM
#N/D;DPT01710020;Projeto DAT4RE gerenciamento da informação para a gestão de resíduos eletroeletrônicos (GMCLOG);;LUCIA HELENA DA SILVA MACIEL XAVIER, ;27/11/2020;Proposta de Trabalho do Projeto;Pública;Concluído;DPT 0171-00-20 .pdf;PRJ01.13;07/00175;;SIM
#N/D;DPT01720020;Orçamento de ensaio de composição química para a empresa Mineração Marianelli;;LEONARDO LUIZ LYRIO DA SILVEIRA, EUNICE DE FREITAS LIMA, ;30/11/2020;Proposta de Trabalho do Projeto;Reservada;Concluído;DPT001720020_Mineração Marianelli.pdf;PRJ02.19;10/00047;;SIM
#N/D;DPT01730020;Orçamento de ensaio de composição química para a empresa Galax White Granitos Ltda.;;EUNICE DE FREITAS LIMA, LEONARDO LUIZ LYRIO DA SILVEIRA, ;02/12/2020;Proposta de Trabalho do Projeto;Reservada;Concluído;DPT001730020_Galax White Granitos.pdf;PRJ02.19;10/00047;;SIM
#N/D;DPT01740020;Orçamento de ensaio de caracterização tecnológica para a empresa Vermont Mineração Exportação e Importação Ltda.;;LEONARDO LUIZ LYRIO DA SILVEIRA, EUNICE DE FREITAS LIMA, ;07/12/2020;Proposta de Trabalho do Projeto;Reservada;Concluído;DPT01740020_Vermont Mineração.pdf;PRJ02.19;10/00047;;SIM
#N/D;DPT01750020;Orçamento de ensaio de caracterização tecnológica para a empresa Mineração Agreste Ltda.;;LEONARDO LUIZ LYRIO DA SILVEIRA, EUNICE DE FREITAS LIMA, ;09/12/2020;Proposta de Trabalho do Projeto;Reservada;Concluído;DPT01750020_Mineração Agreste.pdf;PRJ02.19;10/00047;;SIM
#N/D;DPT01760020;AVALIAÇÃO DO CONSUMO DE RESINA (NCM 3907.30.22), ENDURENTE (NCM 3824.99.39) E TELA (NCM 7019.59.00) NA PRODUÇÃO DE CHAPAS DE  GRANITO (NCM 6802.93.90),  MÁRMORE (NCM 6802.91.00) E QUARTZITO (NCM 6802.99.00) PARA EXPORTAÇÃO, PARA A EMPRESA QUARTZBLUE QUART;;EUNICE DE FREITAS LIMA, LEONARDO LUIZ LYRIO DA SILVEIRA, ;11/12/2020;Proposta de Trabalho do Projeto;Reservada;Concluído;DPT01760020_Laudo_QuartzBlue.pdf;PRJ02.19;10/00048;;SIM
#N/D;DPT01770020;ORÇAMENTO DE ENSAIO DE CARACTERIZAÇÃO TECNÓLOGICA E COMPOSIÇÃO QUÍMICA PARA A EMPRESA PETTRUS MINERAÇÃO E COMÉRCIO LTDA;;EUNICE DE FREITAS LIMA, LEONARDO LUIZ LYRIO DA SILVEIRA, ;11/12/2020;Proposta de Trabalho do Projeto;Reservada;Em preparação;;PRJ02.19;10/00047;;NÃO
#N/D;DPT01780020;ORÇAMENTO DE ENSAIO DE CARACTERIZAÇÃO TECNOLOGICA PARA A EMPRESA GRANBRASIL GRANITOS DO BRASIL S.A.;;EUNICE DE FREITAS LIMA, LEONARDO LUIZ LYRIO DA SILVEIRA, ;11/12/2020;Proposta de Trabalho do Projeto;Reservada;Em preparação;;PRJ02.19;10/00047;;NÃO
#N/D;DPT01790020;Caracterização tecnológica de duas amostras de ácido benzenos sulfônico;;ROBERTO CARLOS DA CONCEIÇÃO RIBEIRO, MICHELLE TEIXEIRA COSTA CASSIANO DOS SANTOS, ;15/12/2020;Proposta de Trabalho do Projeto;Reservada;Concluído;DPT01790020_PT benzeno.pdf;PRJ02.19;10/00047;;SIM
#N/D;DPT01800020;Caracterização tecnológica de duas amostras de éteres de ácido graxo;DPT Roberto Carlos;ROBERTO CARLOS DA CONCEIÇÃO RIBEIRO, MAICCON MARTINS BARROS, ;15/12/2020;Proposta de Trabalho do Projeto;Reservada;Concluído;DPT01800020_PT acido oleico.pdf;PRJ02.19;10/00047;;SIM
#N/D;DPT01810020;Caracterização tecnológica de duas amostras de meios de cultura;;ROBERTO CARLOS DA CONCEIÇÃO RIBEIRO, MAICCON MARTINS BARROS, ;15/12/2020;Proposta de Trabalho do Projeto;Reservada;Concluído;DPT01810020_PT Meios.pdf;PRJ02.19;10/00047;;SIM
#N/D;DPT01820020;Caracterização tecnológica de duas amostras de filmes plásticos;;ROBERTO CARLOS DA CONCEIÇÃO RIBEIRO, MICHELLE TEIXEIRA COSTA CASSIANO DOS SANTOS, ;15/12/2020;Proposta de Trabalho do Projeto;Reservada;Concluído;DPT01820020_PT filmes plasticos.pdf;PRJ02.19;10/00047;;SIM
#N/D;DPT01830020;Caracterização tecnológica de duas amostras de hulha betuminosa;;ROBERTO CARLOS DA CONCEIÇÃO RIBEIRO, MICHELLE TEIXEIRA COSTA CASSIANO DOS SANTOS, ;15/12/2020;Proposta de Trabalho do Projeto;Reservada;Concluído;DPT01830020_PT hulha.pdf;PRJ02.19;10/00047;;SIM
#N/D;DPT01840020;Caracterização tecnológica de duas amostras de fluxantes;;ROBERTO CARLOS DA CONCEIÇÃO RIBEIRO, MAICCON MARTINS BARROS, ;15/12/2020;Proposta de Trabalho do Projeto;Reservada;Concluído;DPT01840020_PT fluxantes.pdf;PRJ02.19;10/00047;;SIM
#N/D;DPT01850020;Caracterização tecnológica de uma amostra de minério de ferro;;ROBERTO CARLOS DA CONCEIÇÃO RIBEIRO, MAICCON MARTINS BARROS, ;15/12/2020;Proposta de Trabalho do Projeto;Reservada;Concluído;DPT01850020_PT Minério de ferro.pdf;PRJ02.19;10/00047;;SIM
#N/D;DPT01860020;Caracterização tecnológica de duas amostras de coque verde;;MICHELLE TEIXEIRA COSTA CASSIANO DOS SANTOS, ROBERTO CARLOS DA CONCEIÇÃO RIBEIRO, ;15/12/2020;Proposta de Trabalho do Projeto;Reservada;Concluído;DPT01860020_PT coque.pdf;PRJ02.19;10/00047;;SIM
